"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"152","NAC",126,"pos",4,3,0,0,2,"angr",2,0.333333333333333,1,0,0,2,2,2,3
"153","NAC",126,"pos",4,3,0,0,1,"happ",0,3.33333333333333,3,4,3,0,0,0,2
"154","NAC",126,"pos",4,3,0,0,2,"happ",0,4,4,4,4,0,0,0,2
"155","NAC",126,"pos",4,3,0,0,1,"neut",0.333333333333333,0.666666666666667,1,0,1,0,0,1,1
"156","NAC",126,"pos",4,3,0,0,2,"neut",2,0,0,0,0,1,2,3,1
"157","GEO",127,"neu",4,4,1,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,3
"158","GEO",127,"neu",4,4,1,0,2,"angr",0.666666666666667,0,0,0,0,0,1,1,2
"159","GEO",127,"neu",4,4,1,0,1,"happ",0,2.33333333333333,3,3,1,0,0,0,1
"160","GEO",127,"neu",4,4,1,0,2,"happ",0,1,1,1,1,0,0,0,1
"161","GEO",127,"neu",4,4,1,0,1,"neut",0,0,0,0,0,0,0,0,2
"162","GEO",127,"neu",4,4,1,0,2,"neut",0,0,0,0,0,0,0,0,3
"163","GEO",128,"pos",3,3,0,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,1
"164","GEO",128,"pos",3,3,0,0,2,"angr",0,0,0,0,0,0,0,0,2
"165","GEO",128,"pos",3,3,0,0,1,"happ",0,1.33333333333333,2,1,1,0,0,0,1
"166","GEO",128,"pos",3,3,0,0,2,"happ",0.333333333333333,0,0,0,0,0,0,1,2
"167","GEO",128,"pos",3,3,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"168","GEO",128,"pos",3,3,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"169","JOB",129,"pos",2,3,3,0,1,"angr",0.333333333333333,0,0,0,0,1,0,0,1
"170","JOB",129,"pos",2,3,3,0,2,"angr",0.333333333333333,0,0,0,0,1,0,0,1
"171","JOB",129,"pos",2,3,3,0,1,"happ",0,2.33333333333333,2,1,4,0,0,0,1
"172","JOB",129,"pos",2,3,3,0,2,"happ",0.333333333333333,1.33333333333333,2,1,1,0,0,1,1
"173","JOB",129,"pos",2,3,3,0,1,"neut",0,0.666666666666667,1,1,0,0,0,0,1
"174","JOB",129,"pos",2,3,3,0,2,"neut",0,0.666666666666667,0,1,1,0,0,0,1
"175","TKA",130,"neg",1,3,0,0,1,"angr",0.333333333333333,0,0,0,0,0,0,1,4
"176","TKA",130,"neg",1,3,0,0,2,"angr",0.333333333333333,0,0,0,0,0,0,1,4
"177","TKA",130,"neg",1,3,0,0,1,"happ",0,0.666666666666667,0,1,1,0,0,0,2
"178","TKA",130,"neg",1,3,0,0,2,"happ",0,0,0,0,0,0,0,0,2
"179","TKA",130,"neg",1,3,0,0,1,"neut",0,0,0,0,0,0,0,0,2
"180","TKA",130,"neg",1,3,0,0,2,"neut",0,0.666666666666667,0,1,1,0,0,0,1
"181","MAM",131,"neg",0,3,1,0,1,"angr",0,0,0,0,0,0,0,0,1
"182","MAM",131,"neg",0,3,1,0,2,"angr",0,0,0,0,0,0,0,0,1
"183","MAM",131,"neg",0,3,1,0,1,"happ",0,0.333333333333333,1,0,0,0,0,0,1
"184","MAM",131,"neg",0,3,1,0,2,"happ",0,0,0,0,0,0,0,0,1
"185","MAM",131,"neg",0,3,1,0,1,"neut",0,0,0,0,0,0,0,0,1
"186","MAM",131,"neg",0,3,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"187","MAM",132,"neg",0,3,0,0,1,"angr",1,0,0,0,0,1,1,1,1
"188","MAM",132,"neg",0,3,0,0,2,"angr",0.333333333333333,0,0,0,0,1,0,0,1
"189","MAM",132,"neg",0,3,0,0,1,"happ",0,1.33333333333333,1,1,2,0,0,0,1
"190","MAM",132,"neg",0,3,0,0,2,"happ",0,1,1,2,0,0,0,0,1
"191","MAM",132,"neg",0,3,0,0,1,"neut",0,0.333333333333333,0,1,0,0,0,0,1
"192","MAM",132,"neg",0,3,0,0,2,"neut",0.333333333333333,0,0,0,0,1,0,0,1
"193","KLP",133,"neu",0,4,0,0,1,"angr",0.333333333333333,0,0,0,0,0,0,1,2
"194","KLP",133,"neu",0,4,0,0,2,"angr",0.333333333333333,0,0,0,0,1,0,0,3
"195","KLP",133,"neu",0,4,0,0,1,"happ",0,1.33333333333333,1,2,1,0,0,0,3
"196","KLP",133,"neu",0,4,0,0,2,"happ",0,1,1,1,1,0,0,0,2
"197","KLP",133,"neu",0,4,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"198","KLP",133,"neu",0,4,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"199","CBV",134,"neu",0,NA,1,0,1,"angr",1,0.666666666666667,0,2,0,0,2,1,3
"200","CBV",134,"neu",0,NA,1,0,2,"angr",1.66666666666667,0,0,0,0,2,2,1,4
"201","CBV",134,"neu",0,NA,1,0,1,"happ",2,0.666666666666667,2,0,0,1,4,1,2
"202","CBV",134,"neu",0,NA,1,0,2,"happ",1,0,0,0,0,1,2,0,2
"203","CBV",134,"neu",0,NA,1,0,1,"neut",1,0.333333333333333,1,0,0,0,2,1,1
"204","CBV",134,"neu",0,NA,1,0,2,"neut",0.333333333333333,1,0,2,1,0,1,0,1
"205","TSS",135,"neg",3,0,1,0,1,"angr",0.333333333333333,0.333333333333333,1,0,0,0,1,0,1
"206","TSS",135,"neg",3,0,1,0,2,"angr",0.333333333333333,0,0,0,0,0,1,0,2
"207","TSS",135,"neg",3,0,1,0,1,"happ",0,0.666666666666667,1,1,0,0,0,0,1
"208","TSS",135,"neg",3,0,1,0,2,"happ",0,1,1,1,1,0,0,0,1
"209","TSS",135,"neg",3,0,1,0,1,"neut",0,0.333333333333333,0,0,1,0,0,0,1
"210","TSS",135,"neg",3,0,1,0,2,"neut",0,0.333333333333333,0,1,0,0,0,0,1
"211","GEO",136,"pos",4,4,0,0,1,"angr",3,0,0,0,0,3,2,4,1
"212","GEO",136,"pos",4,4,0,0,2,"angr",3,0,0,0,0,2,4,3,1
"213","GEO",136,"pos",4,4,0,0,1,"happ",0,4,5,3,4,0,0,0,1
"214","GEO",136,"pos",4,4,0,0,2,"happ",0,2.33333333333333,4,1,2,0,0,0,1
"215","GEO",136,"pos",4,4,0,0,1,"neut",0,1,2,1,0,0,0,0,1
"216","GEO",136,"pos",4,4,0,0,2,"neut",0,1,2,1,0,0,0,0,1
"217","CBV",137,"pos",4,0,0,0,1,"angr",0.666666666666667,0,0,0,0,1,0,1,2
"218","CBV",137,"pos",4,0,0,0,2,"angr",0.333333333333333,0,0,0,0,0,0,1,2
"219","CBV",137,"pos",4,0,0,0,1,"happ",0,0.666666666666667,0,1,1,0,0,0,2
"220","CBV",137,"pos",4,0,0,0,2,"happ",0.333333333333333,0.333333333333333,0,0,1,0,0,1,1
"221","CBV",137,"pos",4,0,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"222","CBV",137,"pos",4,0,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"223","CBV",138,"neg",3,0,1,0,1,"angr",0,0,0,0,0,0,0,0,3
"224","CBV",138,"neg",3,0,1,0,2,"angr",0,0,0,0,0,0,0,0,2
"225","CBV",138,"neg",3,0,1,0,1,"happ",0,0,0,0,0,0,0,0,1
"226","CBV",138,"neg",3,0,1,0,2,"happ",0,0,0,0,0,0,0,0,1
"227","CBV",138,"neg",3,0,1,0,1,"neut",0,0,0,0,0,0,0,0,1
"228","CBV",138,"neg",3,0,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"229","rev",139,"neu",0,NA,1,0,1,"angr",0,0,0,0,0,0,0,0,4
